Team,Seed,ExpectedGames
Auburn,1,4.503
Alabama State,16,1.0
Louisville,8,1.776
Creighton,9,1.45
Texas A&M,5,2.612
Yale,12,1.108
Michigan,4,2.303
UC San Diego,13,1.329
Iowa State,6,3.201
Lipscomb,11,1.048
Mississippi,3,1.75
North Carolina,14,1.752
Marquette,7,1.991
New Mexico,10,1.492
Michigan State,2,3.214
Bryant,15,1.01
Florida,1,4.141
Norfolk State,16,1.001
Connecticut,8,1.741
Oklahoma,9,1.473
Maryland,5,3.332
Grand Canyon,12,1.049
Memphis,4,1.528
Colorado State,13,1.683
Texas Tech,6,3.292
UNC Wilmington,11,1.019
Missouri,3,2.425
Drake,14,1.145
Kansas,7,2.139
Arkansas,10,1.498
St. John's,2,2.984
Omaha,15,1.013
Duke,1,4.425
Mount St Mary's,16,1.0
Mississippi State,8,1.504
Baylor,9,1.704
Arizona,5,3.035
Akron,12,1.035
Oregon,4,2.131
Liberty,13,1.205
Wisconsin,6,2.913
Montana,11,1.016
BYU,3,2.112
VCU,14,1.446
Saint Mary's,7,1.787
Vanderbilt,10,1.482
Alabama,2,3.771
Robert Morris,15,1.007
Houston,1,3.953
SIU Edwardsville,16,1.0
Gonzaga,8,2.212
Georgia,9,1.33
Purdue,5,2.776
High Point,12,1.084
Clemson,4,2.311
McNeese State,13,1.202
Kentucky,6,2.839
Troy,11,1.04
Illinois,3,2.341
Xavier,14,1.387
UCLA,7,1.996
Utah State,10,1.39
Tennessee,2,3.557
Wofford,15,1.009
