Rank,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Daeshun Ruffin,JKSN,16,36.8,27.3,8.3,19.6,0.42,1.6,5.6,0.292,9.2,10.9,0.84,0.7,2.8,3.4,6.5,1.8,0.1,4.3,2.4
2,A.J. Dybantsa,BYU,18,36.3,25.9,8.9,18.9,0.471,1.8,5.2,0.34,6.3,8.6,0.74,1.3,5.1,6.4,3.8,0.8,0.3,3.3,1.5
3,Jordan Riley,ECAR,18,39.1,25.4,8.7,21,0.413,1.3,4.2,0.316,6.8,9.1,0.748,1.6,5,6.6,2.9,1.8,0.6,2.2,1.7
4,"Darius Acuff, Jr.",ARK,17,36.5,24.8,8.5,17.4,0.492,2.5,5.7,0.433,5.3,6.4,0.826,0.4,2.6,3,6.6,0.7,0.4,2.1,1.5
5,Dontae Horne,PVAMU,18,34.1,24.4,7.7,17.3,0.442,1.6,5.2,0.298,7.5,9.3,0.804,1.6,3.8,5.4,3.1,1.8,0.3,2.8,2.7
6,"Dominique Daniels, Jr.",CALBU,18,36,23.8,8,18.3,0.436,1.8,5.5,0.333,5.9,7.7,0.775,0.6,2.8,3.4,2.9,0.8,0.1,2.3,1.8
7,Dra Gibbs-Lawhorn,UNLV,20,35.6,23.6,8.4,15.6,0.535,3.6,7.6,0.477,3.3,3.9,0.844,0.5,2.6,3.1,2.4,1.6,0.5,2.2,3.4
8,P.J. Haggerty,KSU,17,37.5,23.5,9.4,19.5,0.48,1.3,3.9,0.328,3.5,5.5,0.638,1.2,4.2,5.4,3.5,1.4,0,2.9,2.8
9,A'lahn Sumler,CHASO,14,33.7,23.4,8.2,17.3,0.475,2.7,6.9,0.396,4.3,5.9,0.732,0.7,3.8,4.5,4.8,0.9,0.2,3.1,2.1
10,Ebuka Okorie,STAN,18,35.9,23.3,7.9,17,0.467,2.2,5.8,0.375,5.3,6.2,0.848,0.8,3,3.8,4,1.5,0.3,2,1.2
11,Lamar Wilkerson,IU,20,36.1,23.2,7.9,16.6,0.476,3.5,9.3,0.378,3.9,4.3,0.918,0.5,3.3,3.8,2.2,0.7,0.3,1.8,2.1
12,Shelton Williams-Dryden,UWG,18,36,22.9,8.9,16.9,0.53,0.4,2.4,0.182,4.6,6.4,0.716,3.2,5.9,9.1,1.4,0.7,0.2,1.7,2.4
13,Juke Harris,WF,18,37.4,22.9,7.5,16.8,0.446,2.8,8.3,0.336,5.2,6.7,0.775,1,5.7,6.7,1.9,1.2,0.2,1.5,1.8
14,Nick Martinelli,NWU,20,37.2,22.8,7.9,16.8,0.467,1.4,3.9,0.364,5.7,6.8,0.831,2.2,4.1,6.2,2.2,0.7,0.3,1.4,2.2
15,Jadin Booth,SAMF,18,37.9,22.7,7.1,15.1,0.471,4.3,9.5,0.45,4.2,5,0.844,0.2,3.4,3.7,2.6,1.1,0.1,1.3,2.4
16,Cameron Boozer,DUKE,18,33.9,22.7,7.9,13.4,0.593,1.6,3.5,0.46,5.2,6.5,0.795,3.4,6.9,10.3,3.9,1.6,0.2,2.3,1.3
17,Josh Hubbard,MISST,18,34.3,22.7,7.7,18.2,0.421,3.1,9,0.34,4.3,6.1,0.706,0.4,2.3,2.7,3.4,1.2,0.1,2.5,1.1
18,J.T. Toppin,TXTCH,13,35.7,22.6,9.6,17.8,0.541,0.9,2.6,0.353,2.5,3.2,0.78,3.8,7.3,11.1,2.4,1.5,1.8,2.3,2.5
19,Carson Johnson,DEN,16,37.1,22.5,7.4,15.8,0.468,2.9,7.2,0.4,4.9,5.4,0.907,0.1,1.6,1.6,3.4,0.6,0.1,1.2,2.5
20,"Jamie Phillips, Jr.",STET,4,30.5,22.3,7.8,12.8,0.608,3,5.5,0.545,3.8,4.5,0.833,0.3,5.3,5.5,3,0.8,0.5,2,1.8
21,Bennett Stirtz,IOWA,20,38.4,22.2,7.8,15.5,0.5,2.8,7.5,0.373,3.9,4.7,0.839,0.2,2.2,2.4,3.8,1.4,0.3,2.2,2.3
22,Michael James,MVSU,17,38.7,22.2,7.8,18.2,0.427,2.5,7.9,0.313,4.2,4.6,0.91,1,2.6,3.6,3.2,1.8,0,2.6,2.1
23,Kamrin Oriol,UNF,18,36.6,22.1,7.6,15.5,0.487,3.2,8.1,0.39,3.8,4.2,0.907,0.2,3,3.2,4.6,0.7,0.2,3.4,2.5
24,Camren Hunter,UCA,18,32.8,22,7.9,14.9,0.528,2.2,6.1,0.364,4,4.9,0.818,1.3,3.9,5.2,3.5,1.3,0.4,1.7,1.3
25,Chaze Harris,USA,18,34.7,22,8.4,14.5,0.582,0.2,0.7,0.231,4.9,8.3,0.597,1.3,3.3,4.7,4.7,1.9,0.3,3.2,2.6
26,Graham Ike,ZAGS,15,32.3,21.9,8.9,14.5,0.613,1,2.7,0.366,3.2,4.2,0.762,2.3,5.9,8.2,2.1,1,1,2,2.6
27,Kameron Taylor,UNCA,16,35.7,21.7,7.4,15.6,0.472,1.6,4.6,0.351,5.3,7.7,0.691,0.9,3.1,4,2.8,0.9,0.6,2.3,1.8
28,Nasir Whitlock,LEHI,18,37.2,21.6,7.1,14.3,0.496,2.4,5,0.489,4.9,6.2,0.802,0.3,3.2,3.4,4,0.9,0,2.7,2.1
29,Tyler Tanner,VANDY,18,36.2,21.5,6.8,14.4,0.475,1.6,4.6,0.341,6.3,7.3,0.856,0.4,3,3.4,5.5,2.3,0.2,2.4,1.9
30,Javontae Campbell,BGSU,18,37.2,21.4,7.4,14.5,0.51,0.8,2.3,0.366,5.8,7.6,0.766,1.1,3.4,4.6,6,2.4,0.3,3.2,2.9
31,Jack Karasinski,BELL,18,28.9,21.4,6.8,12.4,0.549,2.5,5.6,0.446,5.2,6.4,0.81,1.2,3.1,4.3,1.3,0.4,0.3,1.2,2.2
32,Kenyon Giles,WICHI,18,38.2,21.3,8,18.9,0.422,3.7,9.9,0.369,1.7,1.9,0.882,0.5,2.2,2.7,1.3,1.8,0,1.6,1.4
33,Logan Duncomb,WIN,15,28.1,21.3,6.8,11.7,0.58,0,0.1,0,7.7,10.1,0.762,3.7,6.5,10.3,2.3,1,0.7,2.3,2.3
34,"Labaron Philon, Jr.",UA,17,31.2,21.2,6.8,14.2,0.475,2.2,6.1,0.369,5.5,6.7,0.816,0.5,2.4,2.9,4.2,1,0.1,2.4,1.5
35,Kahmare Holmes,WOFF,13,33.3,21.2,7.1,14.8,0.477,1.9,5.2,0.368,5.2,7.6,0.677,1.5,4.1,5.5,3.4,1.6,0.2,1.8,2.5
